Date,Open,High,Low,Close,Adj Close,Volume
2015-08-01,3.775210,3.854550,3.632980,3.758100,3.758100,0
2015-09-01,3.762140,3.809120,3.664900,3.761360,3.761360,0
2015-10-01,3.800530,3.927400,3.676800,3.858900,3.858900,0
2015-11-01,3.848380,4.047360,3.842880,4.029050,4.029050,0
2015-12-01,4.035580,4.057160,3.805900,3.892700,3.892700,0
2016-01-01,3.949870,4.155570,3.862700,4.077840,4.077840,0
2016-02-01,4.079260,4.080440,3.856500,3.991260,3.991260,0
2016-03-01,3.995200,4.004060,3.719060,3.767860,3.767860,0
2016-04-01,3.724700,3.928220,3.704600,3.817600,3.817600,0
2016-05-01,3.817600,3.986270,3.768960,3.941240,3.941240,0
2016-06-01,3.940170,4.123850,3.782670,3.969110,3.969110,0
2016-07-01,3.940790,4.031920,3.883300,3.900400,3.900400,0
2016-08-01,3.899960,3.917110,3.769320,3.907980,3.907980,0
2016-09-01,3.911210,3.928700,3.756400,3.834700,3.834700,0
2016-10-01,3.819000,3.986200,3.814160,3.944170,3.944170,0
2016-11-01,3.925700,4.212000,3.847410,4.163520,4.163520,0
2016-12-01,4.204310,4.278890,4.104760,4.185900,4.185900,0
2017-01-01,4.185900,4.240030,3.990300,4.047390,4.047390,0
2017-02-01,4.002060,4.097160,3.918300,4.074300,4.074300,0
2017-03-01,4.072830,4.098360,3.892360,3.939540,3.939540,0
2017-04-01,3.967900,4.010660,3.831120,3.883860,3.883860,0
2017-05-01,3.872210,3.896830,3.709600,3.735210,3.735210,0
2017-06-01,3.717640,3.821570,3.681130,3.706750,3.706750,0
2017-07-01,3.702200,3.755670,3.602190,3.621120,3.621120,0
2017-08-01,3.596250,3.666310,3.520260,3.576730,3.576730,0
2017-09-01,3.564380,3.693620,3.505700,3.665300,3.665300,0
2017-10-01,3.665300,3.694070,3.569050,3.646960,3.646960,0
2017-11-01,3.638200,3.671300,3.516200,3.544900,3.544900,0
2017-12-01,3.532700,3.596660,3.419700,3.480100,3.480100,0
2018-01-01,3.483600,3.515000,3.307800,3.350360,3.350360,0
2018-02-01,3.342660,3.431100,3.309250,3.411810,3.411810,0
2018-03-01,3.423400,3.456070,3.364800,3.421900,3.421900,0
2018-04-01,3.421900,3.511200,3.330200,3.470640,3.470640,0
2018-05-01,3.506620,3.765600,3.499600,3.690900,3.690900,0
2018-06-01,3.690400,3.782610,3.582400,3.740000,3.740000,0
